title;latitude;longitude
Liceo Scientifico Statale Galileo Galilei;454.126.749;11.813.863
Liceo Ginnasio Statale G.B. Vico;408.540.945;142.473.604
I.T.S. Commerciale e per Geometri Michelangelo Buonarroti;418.086.376;126.847.244
"Istituto d'istruzione superiore ""Galilei - Campailla""";368.499;1.476.976
Istituto Comprensivo Statale;39.960.874;183.105.843
"Istituto Comprensivo ""S.Canevari""";424.134.156;121.165.032
I. C.  CADUTI DI CEFALONIA - MAZZINI;450.462.899;7.637.997
Direzione Didattica Statale;450.205.043;76.447.074
Liceo scientifico Galileo Ferraris;4.507.049;768.682
"IC ""Marconi Antonelli""";450.759.429;77.247.484
Liceo Classico Statale Massimo D'Azeglio ;451.205.512;76.330.847
ISTITUTO COMPRENSIVO DELLA VAL NURE  ;4.486.762;964.433
"Liceo Classico e Scientifico Statale ""S. Pellico - G. Peano"" - Cuneo";4.439.733;754.453
Liceo Scientifico e Linguistico Statale “G. Marconi” - Milano;454.506.133;91.271.404
DANTE ALIGHIERI GIOSUÈ CARDUCCI  Scuola statale secondaria di I grado - Piacenza;4.504.202;970.462
I.C.S. TRICASE VIA APULIA;3.993.042;18.355.332
Istituto Comprensivo di Viguzzolo;4.490.567;891.968
"ISTITUTO D'ISTRUZIONE Secondaria SUPERIORE ""TOMMASO FIORE"" -  Modugno ";4.109.454;167.959
IS TRAMELLO CASSINARI;447.513.422;96.020.151
Liceo Scientifico Statale Michelangelo;392.303.252;91.237.424
"Liceo Scientifico e linguistico ""O.Tedone""";4.111.658;1.648.974
"ICS ""G. Falcone - P. Borsellino"" Cassabile";36.972.574;15.202.055
Istituto Comprensivo - Baccio di Montelupo;437.321.385;110.200.481
"1 Istituto superiore ""Archimede""";36.822.297;149.452.434
"Istituto Comprensivo "" Mario Rapisardi""";3.735.842;1.384.786
IIS Leonardo Da Vinci;449.141.268;8.613.031
Liceo M. Fanti;4.478.237;108.777
Istituto comprensivo Santo Stefano Magra;441.638.637;99.150.648
Istituto Comprensivo n.1;442.218.674;120.383.187
ISTITUTO TECNICO COMMERCIALE - VITTORIO VENETO - SALVEMINI;4.146.614;129.043
"Liceo Scientifico ""A. Genoino""";407.005.531;147.000.248
Istituto Comprensivo Viale San Marco ;454.779.592;122.663.412
Istituto Comprensivo di Castelnuovo Don Bosco;45.042.516;79.631.647
IC Santa Margherita Ligure;4.199.998;434.999
"ISTITUTO COMPRENSIVO ""G. FALCONE - P. BORSELLINO"" DI CAULONIA ";38.342.895;164.623.536
Istituto Istruzione Superiore Enzo Ferrari ;44.485.875;-67.883.662
IIS - TOMMASO FAZELLO;375.157.753;13.079.868
I.I.S. LA FARINA BASILE;381.949.876;155.537.306
Istituto Comprensivo Caio Giulio Cesare ;454.819.979;122.352.757
